Code,Phrase,Tense,Polarity,Intent,Category
0,I want to,Present Simple,Affirmative,Desire,Core
1,Show me,Present Simple,Affirmative,Request,Core
2,Create a,Present Simple,Affirmative,Generation,Core
3,Generate,Present Simple,Affirmative,Generation,Core
4,Make me a,Present Simple,Affirmative,Generation,Core
5,Draw me,Present Simple,Affirmative,Visual,Core
6,Paint,Present Simple,Affirmative,Visual,Core
7,Render,Present Simple,Affirmative,Visual,Core
8,Design a,Present Simple,Affirmative,Design,Core
9,Build me,Present Simple,Affirmative,Construction,Core
10,Write a,Present Simple,Affirmative,Text,Core
11,Code in,Present Simple,Affirmative,Programming,Core
12,Fix,Present Simple,Affirmative,Repair,Core
13,Improve,Present Simple,Affirmative,Enhancement,Core
14,Optimize,Present Simple,Affirmative,Performance,Core
15,Help me,Present Simple,Affirmative,Assistance,Core
16,Teach me,Present Simple,Affirmative,Education,Core
17,Explain,Present Simple,Affirmative,Clarification,Core
18,Summarize,Present Simple,Affirmative,Summary,Core
19,Translate to,Present Simple,Affirmative,Language,Core
20,Convert to,Present Simple,Affirmative,Format,Core
21,Search for,Present Simple,Affirmative,Query,Core
22,Find,Present Simple,Affirmative,Query,Core
23,Show me how to,Present Simple,Affirmative,Tutorial,Core
24,Give me,Present Simple,Affirmative,Request,Core
25,Send me,Present Simple,Affirmative,Delivery,Core
26,Play,Present Simple,Affirmative,Media,Core
27,Turn on,Present Simple,Affirmative,Control,Core
28,Turn off,Present Simple,Affirmative,Control,Core
29,Set to,Present Simple,Affirmative,Control,Core
30,Reboot,Present Simple,Affirmative,Control,Core
31,Ping,Present Simple,Affirmative,Network,Core
32,Curl,Present Simple,Affirmative,Network,Core
33,SSH to,Present Simple,Affirmative,Network,Core
34,Speedtest,Present Simple,Affirmative,Network,Core
35,Open url,Present Simple,Affirmative,Browser,Core
36,Navigate to,Present Simple,Affirmative,Browser,Core
37,Reply in,Present Simple,Affirmative,Language,Core
38,Speak in,Present Simple,Affirmative,Language,Core
39,Style as,Present Simple,Affirmative,Visual Style,Core
040Ð099,[Reserved for common present simple phrases],Present Simple,Affirmative,Varied,Core
,,,,,
100,I don't want to,Present Simple,Negative,Rejection,Core
101,Don't show me,Present Simple,Negative,Rejection,Core
102,Don't create,Present Simple,Negative,Rejection,Core
103,Never generate,Present Simple,Negative,Prohibition,Core
104,Stop making,Present Simple,Negative,Cessation,Core
105,Don't draw,Present Simple,Negative,Rejection,Core
106,Don't paint,Present Simple,Negative,Rejection,Core
107,Don't render,Present Simple,Negative,Rejection,Core
108,Don't design,Present Simple,Negative,Rejection,Core
109,Don't build,Present Simple,Negative,Rejection,Core
110Ð199,[Negative present simple variants],Present Simple,Negative,Rejection,Core
,,,,,
200,I am creating,Present Continuous,Affirmative,Ongoing,Progressive
201,I am generating,Present Continuous,Affirmative,Ongoing,Progressive
202,I am working on,Present Continuous,Affirmative,Ongoing,Progressive
203,I am learning,Present Continuous,Affirmative,Ongoing,Progressive
204,I am building,Present Continuous,Affirmative,Ongoing,Progressive
205Ð299,[All present continuous forms],Present Continuous,Affirmative/Negative,Ongoing,Progressive
,,,,,
300,I wanted to,Past Simple,Affirmative,Desire (past),Past
301,I created,Past Simple,Affirmative,Completion,Past
302,I generated,Past Simple,Affirmative,Completion,Past
303,Show me what I created,Past Simple,Affirmative,Recall,Past
304,Yesterday I asked you to,Past Simple,Affirmative,Context,Past
305Ð399,[Full past simple + past context],Past Simple,Affirmative/Negative,Completed,Past
,,,,,
400,I had created,Past Perfect,Affirmative,Before another past,Perfect
401,I had never seen,Past Perfect,Negative,Before another past,Perfect
402,Before today I had finished,Past Perfect,Affirmative,Sequence,Perfect
403Ð499,[Past perfect forms],Past Perfect,Affirmative/Negative,Sequence,Perfect
,,,,,
500,I will create,Future Simple,Affirmative,Prediction,Future
501,Tomorrow I will generate,Future Simple,Affirmative,Plan,Future
502,I will never,Future Simple,Negative,Prohibition,Future
503,Soon I will show you,Future Simple,Affirmative,Promise,Future
504Ð599,[Future simple forms],Future Simple,Affirmative/Negative,Prediction,Future
,,,,,
600,By tomorrow I will have created,Future Perfect,Affirmative,Completion by time,Perfect
601,By next week I will have finished,Future Perfect,Affirmative,Deadline,Perfect
602Ð699,[Future perfect forms],Future Perfect,Affirmative/Negative,Completion,Perfect
,,,,,
700,I would create if,Conditional,Affirmative,Hypothetical,Modal
701,Could you create,Conditional,Affirmative,Polite Request,Modal
702,Would you mind generating,Conditional,Affirmative,Polite Request,Modal
703,I could help you,Conditional,Affirmative,Offer,Modal
704Ð799,[All modals & conditionals],Conditional,Affirmative/Negative,Hypothetical,Modal
,,,,,
800,Create,Imperative,Affirmative,Command,Direct
801,Don't create,Imperative,Negative,Prohibition,Direct
802,Please generate,Imperative,Affirmative,Polite Command,Direct
803,Never show me,Imperative,Negative,Strong Prohibition,Direct
804Ð899,[All imperatives & strong requests],Imperative,Affirmative/Negative,Command,Direct
,,,,,
900,In the style of,Meta,,Style Context,Meta
901,As if,Meta,,Simulation,Meta
902,From now on,Meta,,Persistent Directive,Meta
903,Always,Meta,,Persistent Rule,Meta
904,Never again,Meta,,Permanent Ban,Meta
905,Until further notice,Meta,,Temporary Rule,Meta
906,In the voice of,Meta,,Persona,Meta
907,Like a,Meta,,Analogy,Meta
908,Pretend you are,Meta,,Roleplay,Meta
909,From now on reply only in,Meta,,Language Lock,Meta
910Ð999,[All meta/context directives],Meta,,Persistent Context,Meta
